HOLE_ID,error,local,PREDRILLED,DEPTH_MEASURED,Nominal_gripper,Estimated_gripper
MSN678_P7'_11,-0.2877750000000012,-0.739042106742532,-1,17.81,code_12,code_12
MSN678_P1_14,-0.0203999999999981,-0.3591823536049186,-1,16.97,code_11,code_11
MSN680_P7'_14,-0.2062749999999987,0.5386679719930766,-1,20.3,code_13,code_13
MSN680_P1_3,-0.0146749999999999,1.1602566589455348,-1,18.22,code_12,code_12
MSN680_P1_10,-0.1738749999999997,1.263854773437611,1,15.95,code_11,code_10
MSN635_P1'_14,0.1053999999999995,-1.5332943178484508,-1,16.9,code_11,code_11
MSN635_P1_2,-0.1856999999999986,-0.5663785825890714,1,18.2,code_12,code_12
MSN635_P8'_4,-0.1602500000000009,-1.7404905468326035,-1,21.4,code_14,code_14
MSN635_P1_3,-0.1275749999999993,-1.1879672695415295,-1,18.2,code_12,code_12
MSN635_P8_4,-0.0452000000000011,-0.9807710405573768,-1,21.45,code_14,code_14
MSN660_P1'_4,0.0504499999999996,-1.291565384033606,-1,17.93,code_12,code_12
MSN663_P1'_10,-0.1837499999999997,0.2624063333475395,1,15.94,code_11,code_10
MSN663_P1'_4,0.1200249999999994,0.124275514024771,-1,18.06,code_12,code_12
MSN663_P7_10,-0.1515250000000004,0.7803969058079214,1,15.75,code_10,code_10
MSN664_P1'_11,0.0090000000000005,1.4710510024217638,-1,16.32,code_11,code_11
MSN667_P1'_1,-0.0770500000000012,0.0206773995326947,-1,18.22,code_12,code_12
MSN667_P7'_11,0.1839750000000001,-0.2555842391128423,-1,17.45,code_11,code_12
MSN667_P1'_11,-0.3164000000000005,-0.0829207149593816,-1,16.8,code_11,code_11
MSN667_P8_6,0.0952000000000012,0.6422660864851529,-1,21.34,code_14,code_14
MSN669_P7'_12,0.2695999999999986,1.0911912492841505,1,19.66,code_13,code_13
MSN669_P1'_11,0.0168999999999988,1.2983874782683031,-1,16.55,code_11,code_11
MSN600_P8_5,-0.0125499999999994,-0.8426402212346084,1,21.14,code_14,code_14
MSN673_P1'_11,-0.0520749999999997,0.0897428091940789,-1,16.66,code_11,code_11
MSN673_P7'_12,-0.2669999999999982,-0.1174534197900737,1,19.95,code_13,code_13
MSN673_P8'_6,0.1831499999999994,-0.3591823536049186,-1,21.33,code_14,code_14
MSN673_P8'_5,0.1296250000000007,-0.2210515342821501,1,21.41,code_14,code_14
MSN673_P7_10,-0.0863499999999994,0.8149296106386135,1,15.62,code_10,code_10
MSN673_P1_12,-0.126275000000002,0.3660044478396159,-1,16.84,code_11,code_11
MSN673_P1_11,-0.265825000000001,0.400537152670308,-1,16.53,code_11,code_11
MSN677_P1_4,0.0505249999999997,-1.602359727509835,-1,17.9,code_12,code_12
MSN678_P1'_11,-0.0084000000000006,-0.6009112874197635,-1,16.56,code_11,code_11
MSN678_P8'_4,-0.2351000000000004,-0.9807710405573768,-1,21.51,code_14,code_14
MSN680_P8_3,0.0831750000000005,1.57464911691384,-1,18.0,code_12,code_12
